"","GeneID","Symbol","Description","Synonyms","GeneType","EnsemblGeneID","Status","ChrAcc","ChrStart","ChrStop","Orientation","Length","GOFunctionID","GOProcessID","GOComponentID","GOFunction","GOProcess","GOComponent"
"ACSL3",2181,"ACSL3","acyl-CoA synthetase long chain family member 3","ACS3|FACL3|LACS 3|LACS3|PRO2194","protein-coding","ENSG00000123983","active","NC_000002.12","222861036","222944639","positive",5577,"GO:0004467///GO:0005515///GO:0005524///GO:0019901///GO:0019904///GO:0031956///GO:0047676///GO:0090433","GO:0001676///GO:0006631///GO:0030182///GO:0034379///GO:0035336///GO:0035338///GO:0042998///GO:0044539///GO:0051047///GO:2001247","GO:0005741///GO:0005778///GO:0005783///GO:0005789///GO:0005794///GO:0005811///GO:0005886///GO:0016020///GO:0048471","long-chain fatty acid-CoA ligase activity///protein binding///ATP binding///protein kinase binding///protein domain specific binding///medium-chain fatty acid-CoA ligase activity///arachidonate-CoA ligase activity///palmitoyl-CoA ligase activity","long-chain fatty acid metabolic process///fatty acid metabolic process///neuron differentiation///very-low-density lipoprotein particle assembly///long-chain fatty-acyl-CoA metabolic process///long-chain fatty-acyl-CoA biosynthetic process///positive regulation of Golgi to plasma membrane protein transport///long-chain fatty acid import into cell///positive regulation of secretion///positive regulation of phosphatidylcholine biosynthetic process","mitochondrial outer membrane///peroxisomal membrane///endoplasmic reticulum///endoplasmic reticulum membrane///Golgi apparatus///lipid droplet///plasma membrane///membrane///perinuclear region of cytoplasm"
"AP1S3",130340,"AP1S3","adaptor related protein complex 1 subunit sigma 3","PSORS15|sigma1C","protein-coding","ENSG00000152056","active","NC_000002.12","223755326","223837582","negative",4025,"GO:0005515///GO:0035615","GO:0006605///GO:0016192///GO:0060155///GO:1903232","GO:0000139///GO:0005765///GO:0005769///GO:0005829///GO:0005905///GO:0030121///GO:0030659///GO:0032588///GO:0043231","protein binding///clathrin adaptor activity","protein targeting///vesicle-mediated transport///platelet dense granule organization///melanosome assembly","Golgi membrane///lysosomal membrane///early endosome///cytosol///clathrin-coated pit///AP-1 adaptor complex///cytoplasmic vesicle membrane///trans-Golgi network membrane///intracellular membrane-bounded organelle"
"WDFY1",57590,"WDFY1","WD repeat and FYVE domain containing 1","FENS-1|FENS1|WDF1|ZFYVE17","protein-coding","ENSG00000085449","active","NC_000002.12","223875348","223945335","negative",4607,"GO:0005515///GO:0005545///GO:0008270","GO:0034141///GO:0034145","GO:0005634///GO:0005730///GO:0005769///GO:0005794///GO:0005829///GO:0030054///GO:0043231","protein binding///1-phosphatidylinositol binding///zinc ion binding","positive regulation of toll-like receptor 3 signaling pathway///positive regulation of toll-like receptor 4 signaling pathway","nucleus///nucleolus///early endosome///Golgi apparatus///cytosol///cell junction///intracellular membrane-bounded organelle"
"MRPL44",65080,"MRPL44","mitochondrial ribosomal protein L44","COXPD16|L44MT|MRP-L44","protein-coding","ENSG00000135900","active","NC_000002.12","223950846","223967714","positive",1908,"GO:0003723///GO:0003725///GO:0003735///GO:0004525///GO:0005515","GO:0006364///GO:0032543///GO:0070125///GO:0090305","GO:0005654///GO:0005739///GO:0005743///GO:0005762///GO:0005886///GO:0016604","RNA binding///double-stranded RNA binding///structural constituent of ribosome///ribonuclease III activity///protein binding","rRNA processing///mitochondrial translation///mitochondrial translational elongation///nucleic acid phosphodiester bond hydrolysis","nucleoplasm///mitochondrion///mitochondrial inner membrane///mitochondrial large ribosomal subunit///plasma membrane///nuclear body"
"SERPINE2",5270,"SERPINE2","serpin family E member 2","GDN|GDNPF|PI-7|PI7|PN-1|PN1|PNI","protein-coding","ENSG00000135919","active","NC_000002.12","223975045","224039319","negative",3250,"GO:0004867///GO:0005102///GO:0005515///GO:0005539///GO:0008201","GO:0008285///GO:0010757///GO:0010766///GO:0010951///GO:0010955///GO:0014067///GO:0021683///GO:0030154///GO:0030163///GO:0030168///GO:0030195///GO:0030308///GO:0030334///GO:0032940///GO:0033363///GO:0042177///GO:0042628///GO:0045861///GO:0045879///GO:0048505///GO:0048711///GO:0050974///GO:0051966///GO:0060291///GO:0060384///GO:0061108///GO:0090331","GO:0005576///GO:0005615///GO:0005829///GO:0031091///GO:0031232///GO:0031594///GO:0062023///GO:1903561","serine-type endopeptidase inhibitor activity///signaling receptor binding///protein binding///glycosaminoglycan binding///heparin binding","negative regulation of cell population proliferation///negative regulation of plasminogen activation///negative regulation of sodium ion transport///negative regulation of endopeptidase activity///negative regulation of protein processing///negative regulation of phosphatidylinositol 3-kinase signaling///cerebellar granular layer morphogenesis///cell differentiation///protein catabolic process///platelet activation///negative regulation of blood coagulation///negative regulation of cell growth///regulation of cell migration///secretion by cell///secretory granule organization///negative regulation of protein catabolic process///mating plug formation///negative regulation of proteolysis///negative regulation of smoothened signaling pathway///regulation of timing of cell differentiation///positive regulation of astrocyte differentiation///detection of mechanical stimulus involved in sensory perception///regulation of synaptic transmission, glutamatergic///long-term synaptic potentiation///innervation///seminal vesicle epithelium development///negative regulation of platelet aggregation","extracellular region///extracellular space///cytosol///platelet alpha granule///extrinsic component of external side of plasma membrane///neuromuscular junction///collagen-containing extracellular matrix///extracellular vesicle"
"CUL3",8452,"CUL3","cullin 3","CUL-3|NEDAUS|PHA2E","protein-coding","ENSG00000036257","active","NC_000002.12","224470150","224585397","negative",7350,"GO:0004842///GO:0005112///GO:0005515///GO:0030332///GO:0031208///GO:0031625///GO:0042802///GO:0061630","GO:0000082///GO:0000122///GO:0000209///GO:0001831///GO:0006511///GO:0006513///GO:0006888///GO:0006954///GO:0007080///GO:0007229///GO:0007369///GO:0008284///GO:0010467///GO:0016055///GO:0016477///GO:0016567///GO:0017145///GO:0030030///GO:0031145///GO:0031398///GO:0031648///GO:0032467///GO:0035024///GO:0040016///GO:0043149///GO:0043161///GO:0044346///GO:0045842///GO:0048208///GO:0051865///GO:0070936///GO:0071630///GO:0072576///GO:0097193///GO:0140252///GO:1901992","GO:0000922///GO:0005634///GO:0005654///GO:0005737///GO:0005794///GO:0005813///GO:0005827///GO:0005829///GO:0005886///GO:0016020///GO:0031461///GO:0031463///GO:0036126///GO:0070062///GO:0072686///GO:0098794///GO:0098978","ubiquitin-protein transferase activity///Notch binding///protein binding///cyclin binding///POZ domain binding///ubiquitin protein ligase binding///identical protein binding///ubiquitin protein ligase activity","G1/S transition of mitotic cell cycle///negative regulation of transcription by RNA polymerase II///protein polyubiquitination///trophectodermal cellular morphogenesis///ubiquitin-dependent protein catabolic process///protein monoubiquitination///endoplasmic reticulum to Golgi vesicle-mediated transport///inflammatory response///mitotic metaphase plate congression///integrin-mediated signaling pathway///gastrulation///positive regulation of cell population proliferation///gene expression///Wnt signaling pathway///cell migration///protein ubiquitination///stem cell division///cell projection organization///anaphase-promoting complex-dependent catabolic process///positive regulation of protein ubiquitination///protein destabilization///positive regulation of cytokinesis///negative regulation of Rho protein signal transduction///embryonic cleavage///stress fiber assembly///proteasome-mediated ubiquitin-dependent protein catabolic process///fibroblast apoptotic process///positive regulation of mitotic metaphase/anaphase transition///COPII vesicle coating///protein autoubiquitination///protein K48-linked ubiquitination///nuclear protein quality control by the ubiquitin-proteasome system///liver morphogenesis///intrinsic apoptotic signaling pathway///regulation protein catabolic process at postsynapse///positive regulation of mitotic cell cycle phase transition","spindle pole///nucleus///nucleoplasm///cytoplasm///Golgi apparatus///centrosome///polar microtubule///cytosol///plasma membrane///membrane///cullin-RING ubiquitin ligase complex///Cul3-RING ubiquitin ligase complex///sperm flagellum///extracellular exosome///mitotic spindle///postsynapse///glutamatergic synapse"
"DOCK10",55619,"DOCK10","dedicator of cytokinesis 10","DRIP2|Nbla10300|ZIZ3","protein-coding","ENSG00000135905","active","NC_000002.12","224765090","225042689","negative",10076,"GO:0003674///GO:0005085///GO:0005515","GO:0001782///GO:0002315///GO:0007264///GO:0030334///GO:0043547///GO:0060997","GO:0005634///GO:0005654///GO:0005737///GO:0005829///GO:0016020///GO:0043197///GO:0070062","molecular_function///guanyl-nucleotide exchange factor activity///protein binding","B cell homeostasis///marginal zone B cell differentiation///small GTPase mediated signal transduction///regulation of cell migration///positive regulation of GTPase activity///dendritic spine morphogenesis","nucleus///nucleoplasm///cytoplasm///cytosol///membrane///dendritic spine///extracellular exosome"
"RHBDD1",84236,"RHBDD1","rhomboid domain containing 1","RHBDL4|RRP4","protein-coding","ENSG00000144468","active","NC_000002.12","226800159","226999210","positive",10728,"GO:0004252///GO:0005515","GO:0006915///GO:0010954///GO:0031293///GO:0034620///GO:0034644///GO:0036503///GO:0043066///GO:0043687///GO:0048515///GO:1904211///GO:2000254","GO:0005783///GO:0005789///GO:0031966///GO:0044322","serine-type endopeptidase activity///protein binding","apoptotic process///positive regulation of protein processing///membrane protein intracellular domain proteolysis///cellular response to unfolded protein///cellular response to UV///ERAD pathway///negative regulation of apoptotic process///post-translational protein modification///spermatid differentiation///membrane protein proteolysis involved in retrograde protein transport, ER to cytosol///regulation of male germ cell proliferation","endoplasmic reticulum///endoplasmic reticulum membrane///mitochondrial membrane///endoplasmic reticulum quality control compartment"
"MFF",56947,"MFF","mitochondrial fission factor","C2orf33|EMPF2|GL004","protein-coding","ENSG00000168958","active","NC_000002.12","227325233","227357836","positive",2324,"GO:0005515///GO:0042802///GO:0042803","GO:0000266///GO:0001836///GO:0006626///GO:0008053///GO:0010821///GO:0016559///GO:0043653///GO:0070584///GO:0090141///GO:0090200///GO:0090314///GO:1900063","GO:0005739///GO:0005741///GO:0005777///GO:0008021///GO:0031966///GO:0032991","protein binding///identical protein binding///protein homodimerization activity","mitochondrial fission///release of cytochrome c from mitochondria///protein targeting to mitochondrion///mitochondrial fusion///regulation of mitochondrion organization///peroxisome fission///mitochondrial fragmentation involved in apoptotic process///mitochondrion morphogenesis///positive regulation of mitochondrial fission///positive regulation of release of cytochrome c from mitochondria///positive regulation of protein targeting to membrane///regulation of peroxisome organization","mitochondrion///mitochondrial outer membrane///peroxisome///synaptic vesicle///mitochondrial membrane///protein-containing complex"
"AGFG1",3267,"AGFG1","ArfGAP with FG repeats 1","HRB|RAB|RIP","protein-coding","ENSG00000173744","active","NC_000002.12","227472169","227561222","positive",10438,"GO:0003677///GO:0003723///GO:0005096///GO:0005515///GO:0046872","GO:0001675///GO:0006406///GO:0007289///GO:0045109///GO:0050790","GO:0005643///GO:0005737///GO:0005829///GO:0031410///GO:0043231","DNA binding///RNA binding///GTPase activator activity///protein binding///metal ion binding","acrosome assembly///mRNA export from nucleus///spermatid nucleus differentiation///intermediate filament organization///regulation of catalytic activity","nuclear pore///cytoplasm///cytosol///cytoplasmic vesicle///intracellular membrane-bounded organelle"
"CCL20",6364,"CCL20","C-C motif chemokine ligand 20","CKb4|Exodus|LARC|MIP-3-alpha|MIP-3a|MIP3A|SCYA20|ST38","protein-coding","ENSG00000115009","active","NC_000002.12","227813842","227817556","positive",834,"GO:0005515///GO:0008009///GO:0031731///GO:0048020","GO:0002548///GO:0006935///GO:0006954///GO:0006955///GO:0007165///GO:0007186///GO:0007267///GO:0030593///GO:0035584///GO:0042742///GO:0043547///GO:0048247///GO:0060326///GO:0070098///GO:0070374///GO:0071346///GO:0071347///GO:0071356///GO:0072678///GO:0072679///GO:2000406","GO:0005576///GO:0005615","protein binding///chemokine activity///CCR6 chemokine receptor binding///CCR chemokine receptor binding","monocyte chemotaxis///chemotaxis///inflammatory response///immune response///signal transduction///G protein-coupled receptor signaling pathway///cell-cell signaling///neutrophil chemotaxis///calcium-mediated signaling using intracellular calcium source///defense response to bacterium///positive regulation of GTPase activity///lymphocyte chemotaxis///cell chemotaxis///chemokine-mediated signaling pathway///positive regulation of ERK1 and ERK2 cascade///cellular response to type II interferon///cellular response to interleukin-1///cellular response to tumor necrosis factor///T cell migration///thymocyte migration///positive regulation of T cell migration","extracellular region///extracellular space"
"PID1",55022,"PID1","phosphotyrosine interaction domain containing 1","HMFN2073|NYGGF4|P-CLI1|PCLI1","protein-coding","ENSG00000153823","active","NC_000002.12","229023973","229271287","negative",8301,"GO:0005515","GO:0001933///GO:0006112///GO:0010628///GO:0010635///GO:0044320///GO:0045444///GO:0045944///GO:0046325///GO:0046627///GO:0051881///GO:0070346///GO:0070584///GO:0071345///GO:0071354///GO:0071356///GO:0071398///GO:1903077///GO:2000377///GO:2000379///GO:2001170///GO:2001171","GO:0005737","protein binding","negative regulation of protein phosphorylation///energy reserve metabolic process///positive regulation of gene expression///regulation of mitochondrial fusion///cellular response to leptin stimulus///fat cell differentiation///positive regulation of transcription by RNA polymerase II///negative regulation of glucose import///negative regulation of insulin receptor signaling pathway///regulation of mitochondrial membrane potential///positive regulation of fat cell proliferation///mitochondrion morphogenesis///cellular response to cytokine stimulus///cellular response to interleukin-6///cellular response to tumor necrosis factor///cellular response to fatty acid///negative regulation of protein localization to plasma membrane///regulation of reactive oxygen species metabolic process///positive regulation of reactive oxygen species metabolic process///negative regulation of ATP biosynthetic process///positive regulation of ATP biosynthetic process","cytoplasm"
"TRIP12",9320,"TRIP12","thyroid hormone receptor interactor 12","MRD49|TRIP-12|TRIPC|ULF","protein-coding","ENSG00000153827","active","NC_000002.12","229763837","229923234","negative",15968,"GO:0005515///GO:0046966///GO:0061630","GO:0000209///GO:0006281///GO:0006511///GO:0006974///GO:0043161///GO:0045995///GO:1901315///GO:2000779///GO:2000780","GO:0005634///GO:0005654///GO:0005829///GO:0016607","protein binding///nuclear thyroid hormone receptor binding///ubiquitin protein ligase activity","protein polyubiquitination///DNA repair///ubiquitin-dependent protein catabolic process///cellular response to DNA damage stimulus///proteasome-mediated ubiquitin-dependent protein catabolic process///regulation of embryonic development///negative regulation of histone H2A K63-linked ubiquitination///regulation of double-strand break repair///negative regulation of double-strand break repair","nucleus///nucleoplasm///cytosol///nuclear speck"
"SP110",3431,"SP110","SP110 nuclear body protein","IFI41|IFI75|IPR1|VODI","protein-coding","ENSG00000135899","active","NC_000002.12","230165473","230225729","negative",6889,"GO:0000981///GO:0003677///GO:0046872","GO:0006357","GO:0005634///GO:0005654","DNA-binding transcription factor activity, RNA polymerase II-specific///DNA binding///metal ion binding","regulation of transcription by RNA polymerase II","nucleus///nucleoplasm"
"SP140",11262,"SP140","SP140 nuclear body protein","LYSP100|LYSP100-A|LYSP100-B","protein-coding","ENSG00000079263","active","NC_000002.12","230202743","230316571","positive",7316,"GO:0000981///GO:0003677///GO:0005515///GO:0046872","GO:0006357///GO:0006952","GO:0001650///GO:0005634///GO:0005739///GO:0016605","DNA-binding transcription factor activity, RNA polymerase II-specific///DNA binding///protein binding///metal ion binding","regulation of transcription by RNA polymerase II///defense response","fibrillar center///nucleus///mitochondrion///PML body"
"SP140L",93349,"SP140L","SP140 nuclear body protein like","","protein-coding","ENSG00000185404","active","NC_000002.12","230327152","230407506","positive",6146,"GO:0000981///GO:0003677///GO:0046872","GO:0006357","GO:0005634///GO:0016604","DNA-binding transcription factor activity, RNA polymerase II-specific///DNA binding///metal ion binding","regulation of transcription by RNA polymerase II","nucleus///nuclear body"
"LOC105373925",105373925,"LOC105373925","uncharacterized LOC105373925","","ncRNA","","active","NC_000002.12","230385975","230401044","negative",2247,"","","","","",""
"SP100",6672,"SP100","SP100 nuclear antigen","lysp100b","protein-coding","ENSG00000067066","active","NC_000002.12","230416156","230545606","positive",7652,"GO:0000981///GO:0003677///GO:0005515///GO:0019900///GO:0019904///GO:0042802///GO:0046983///GO:0070087","GO:0000122///GO:0000723///GO:0006357///GO:0006978///GO:0010596///GO:0034340///GO:0034341///GO:0043392///GO:0043433///GO:0045185///GO:0045765///GO:0045893///GO:0046826///GO:0060333///GO:0060337///GO:1902041///GO:1902044","GO:0000781///GO:0005634///GO:0005654///GO:0005737///GO:0016604///GO:0016605","DNA-binding transcription factor activity, RNA polymerase II-specific///DNA binding///protein binding///kinase binding///protein domain specific binding///identical protein binding///protein dimerization activity///chromo shadow domain binding","negative regulation of transcription by RNA polymerase II///telomere maintenance///regulation of transcription by RNA polymerase II///DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator///negative regulation of endothelial cell migration///response to type I interferon///response to type II interferon///negative regulation of DNA binding///negative regulation of DNA-binding transcription factor activity///maintenance of protein location///regulation of angiogenesis///positive regulation of DNA-templated transcription///negative regulation of protein export from nucleus///type II interferon-mediated signaling pathway///type I interferon-mediated signaling pathway///regulation of extrinsic apoptotic signaling pathway via death domain receptors///regulation of Fas signaling pathway","chromosome, telomeric region///nucleus///nucleoplasm///cytoplasm///nuclear body///PML body"
"CAB39",51719,"CAB39","calcium binding protein 39","CGI-66|MO25","protein-coding","ENSG00000135932","active","NC_000002.12","230712842","230821075","positive",7691,"GO:0005515///GO:0019900///GO:0030295///GO:0043539","GO:0007165///GO:0010800///GO:0014823///GO:0018105///GO:0032147///GO:0035556///GO:0071476///GO:0071902///GO:0097066///GO:1901017///GO:1901380","GO:0005576///GO:0005737///GO:0005829///GO:0016020///GO:0030018///GO:0034774///GO:0070062///GO:1902554///GO:1904813","protein binding///kinase binding///protein kinase activator activity///protein serine/threonine kinase activator activity","signal transduction///positive regulation of peptidyl-threonine phosphorylation///response to activity///peptidyl-serine phosphorylation///activation of protein kinase activity///intracellular signal transduction///cellular hypotonic response///positive regulation of protein serine/threonine kinase activity///response to thyroid hormone///negative regulation of potassium ion transmembrane transporter activity///negative regulation of potassium ion transmembrane transport","extracellular region///cytoplasm///cytosol///membrane///Z disc///secretory granule lumen///extracellular exosome///serine/threonine protein kinase complex///ficolin-1-rich granule lumen"
"ITM2C",81618,"ITM2C","integral membrane protein 2C","BRI3|BRICD2C|E25|E25C|ITM3","protein-coding","ENSG00000135916","active","NC_000002.12","230864185","230879254","positive",2643,"GO:0001540///GO:0005515///GO:0005524","GO:0010977///GO:0030182///GO:0042985///GO:2001238","GO:0005764///GO:0005765///GO:0005794///GO:0005886///GO:0048471///GO:0070062","amyloid-beta binding///protein binding///ATP binding","negative regulation of neuron projection development///neuron differentiation///negative regulation of amyloid precursor protein biosynthetic process///positive regulation of extrinsic apoptotic signaling pathway","lysosome///lysosomal membrane///Golgi apparatus///plasma membrane///perinuclear region of cytoplasm///extracellular exosome"
"PSMD1",5707,"PSMD1","proteasome 26S subunit, non-ATPase 1","P112|Rpn2|S1","protein-coding","ENSG00000173692","active","NC_000002.12","231056864","231172827","positive",4333,"GO:0005515///GO:0030234///GO:0031625","GO:0042176///GO:0043161///GO:0050790","GO:0000502///GO:0005576///GO:0005634///GO:0005654///GO:0005829///GO:0005838///GO:0008540///GO:0016020///GO:0022624///GO:0034515///GO:0035578","protein binding///enzyme regulator activity///ubiquitin protein ligase binding","regulation of protein catabolic process///proteasome-mediated ubiquitin-dependent protein catabolic process///regulation of catalytic activity","proteasome complex///extracellular region///nucleus///nucleoplasm///cytosol///proteasome regulatory particle///proteasome regulatory particle, base subcomplex///membrane///proteasome accessory complex///proteasome storage granule///azurophil granule lumen"
"HTR2B",3357,"HTR2B","5-hydroxytryptamine receptor 2B","5-HT(2B)|5-HT-2B|5-HT2B","protein-coding","ENSG00000135914","active","NC_000002.12","231108230","231126172","negative",3300,"GO:0001587///GO:0001965///GO:0004993///GO:0005096///GO:0005515///GO:0030594///GO:0051378","GO:0001755///GO:0001819///GO:0001938///GO:0002031///GO:0003007///GO:0003300///GO:0006874///GO:0007186///GO:0007187///GO:0007200///GO:0007202///GO:0007205///GO:0007208///GO:0007268///GO:0007610///GO:0008284///GO:0009410///GO:0010507///GO:0010513///GO:0014033///GO:0014065///GO:0014827///GO:0016310///GO:0019722///GO:0019934///GO:0042310///GO:0043066///GO:0043123///GO:0043406///GO:0048598///GO:0050795///GO:0051000///GO:0051209///GO:0051781///GO:0060548///GO:0070371///GO:0070374///GO:0070528///GO:0071502///GO:0098664","GO:0005654///GO:0005737///GO:0005886///GO:0030425///GO:0045202///GO:0098666","Gq/11-coupled serotonin receptor activity///G-protein alpha-subunit binding///G protein-coupled serotonin receptor activity///GTPase activator activity///protein binding///neurotransmitter receptor activity///serotonin binding","neural crest cell migration///positive regulation of cytokine production///positive regulation of endothelial cell proliferation///G protein-coupled receptor internalization///heart morphogenesis///cardiac muscle hypertrophy///cellular calcium ion homeostasis///G protein-coupled receptor signaling pathway///G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger///phospholipase C-activating G protein-coupled receptor signaling pathway///activation of phospholipase C activity///protein kinase C-activating G protein-coupled receptor signaling pathway///phospholipase C-activating serotonin receptor signaling pathway///chemical synaptic transmission///behavior///positive regulation of cell population proliferation///response to xenobiotic stimulus///negative regulation of autophagy///positive regulation of phosphatidylinositol biosynthetic process///neural crest cell differentiation///phosphatidylinositol 3-kinase signaling///intestine smooth muscle contraction///phosphorylation///calcium-mediated signaling///cGMP-mediated signaling///vasoconstriction///negative regulation of apoptotic process///positive regulation of I-kappaB kinase/NF-kappaB signaling///positive regulation of MAP kinase activity///embryonic morphogenesis///regulation of behavior///positive regulation of nitric-oxide synthase activity///release of sequestered calcium ion into cytosol///positive regulation of cell division///negative regulation of cell death///ERK1 and ERK2 cascade///positive regulation of ERK1 and ERK2 cascade///protein kinase C signaling///cellular response to temperature stimulus///G protein-coupled serotonin receptor signaling pathway","nucleoplasm///cytoplasm///plasma membrane///dendrite///synapse///G protein-coupled serotonin receptor complex"
"ARMC9",80210,"ARMC9","armadillo repeat containing 9","ARM|JBTS30|KU-MEL-1|NS21","protein-coding","ENSG00000135931","active","NC_000002.12","231198628","231394991","positive",20933,"GO:0005515","GO:0045880///GO:0060271","GO:0005737///GO:0005814///GO:0036064///GO:0070062///GO:0097542","protein binding","positive regulation of smoothened signaling pathway///cilium assembly","cytoplasm///centriole///ciliary basal body///extracellular exosome///ciliary tip"
"B3GNT7",93010,"B3GNT7","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7","beta3GnT7","protein-coding","ENSG00000156966","active","NC_000002.12","231395710","231401164","positive",3639,"GO:0005515///GO:0008194///GO:0008375///GO:0008499///GO:0008532///GO:0016757","GO:0016266///GO:0018146///GO:0030311","GO:0000139","protein binding///UDP-glycosyltransferase activity///acetylglucosaminyltransferase activity///UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase activity///N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase activity///glycosyltransferase activity","O-glycan processing///keratan sulfate biosynthetic process///poly-N-acetyllactosamine biosynthetic process","Golgi membrane"
"NCL",4691,"NCL","nucleolin","C23|Nsr1","protein-coding","ENSG00000115053","active","NC_000002.12","231453531","231464484","negative",3924,"GO:0003723///GO:0005515///GO:0008022///GO:0042162///GO:0042731///GO:0042802///GO:0043560///GO:0044547///GO:0048027///GO:0140297","GO:0001525///GO:0017148///GO:0045944///GO:0046627///GO:0048026///GO:0050730///GO:0071364///GO:1901838///GO:1990830","GO:0001533///GO:0005634///GO:0005654///GO:0005681///GO:0005694///GO:0005730///GO:0005938///GO:0016020///GO:0036464///GO:0070062///GO:1990904","RNA binding///protein binding///protein C-terminus binding///telomeric DNA binding///PH domain binding///identical protein binding///insulin receptor substrate binding///DNA topoisomerase binding///mRNA 5'-UTR binding///DNA-binding transcription factor binding","angiogenesis///negative regulation of translation///positive regulation of transcription by RNA polymerase II///negative regulation of insulin receptor signaling pathway///positive regulation of mRNA splicing, via spliceosome///regulation of peptidyl-tyrosine phosphorylation///cellular response to epidermal growth factor stimulus///positive regulation of transcription of nucleolar large rRNA by RNA polymerase I///cellular response to leukemia inhibitory factor","cornified envelope///nucleus///nucleoplasm///spliceosomal complex///chromosome///nucleolus///cell cortex///membrane///cytoplasmic ribonucleoprotein granule///extracellular exosome///ribonucleoprotein complex"
"PTMA",5757,"PTMA","prothymosin alpha","TMSA","protein-coding","ENSG00000187514","active","NC_000002.12","231708525","231713541","positive",3114,"GO:0005515///GO:0042393///GO:0043167///GO:0140297","GO:0006351///GO:0043066///GO:0045944","GO:0005634///GO:0005654///GO:0005829","protein binding///histone binding///ion binding///DNA-binding transcription factor binding","DNA-templated transcription///negative regulation of apoptotic process///positive regulation of transcription by RNA polymerase II","nucleus///nucleoplasm///cytosol"
"MIR1244-1",100302285,"MIR1244-1","microRNA 1244-1","MIR1244|MIRN1244|hsa-mir-1244|hsa-mir-1244-1","ncRNA","ENSG00000284378","active","NC_000002.12","231713314","231713398","positive",85,"","","","","",""
"PDE6D",5147,"PDE6D","phosphodiesterase 6D","JBTS22|PDED","protein-coding","ENSG00000156973","active","NC_000002.12","231732425","231781327","negative",1985,"GO:0005095///GO:0005515///GO:0031267","GO:0007601///GO:0043086///GO:0050896","GO:0005737///GO:0005829///GO:0005856///GO:0005929///GO:0030659///GO:0031410","GTPase inhibitor activity///protein binding///small GTPase binding","visual perception///negative regulation of catalytic activity///response to stimulus","cytoplasm///cytosol///cytoskeleton///cilium///cytoplasmic vesicle membrane///cytoplasmic vesicle"
"COPS7B",64708,"COPS7B","COP9 signalosome subunit 7B","CSN7B|SGN7b","protein-coding","ENSG00000144524","active","NC_000002.12","231781671","231809253","positive",5416,"GO:0005515","GO:0000338///GO:0010387///GO:0045116///GO:2000434","GO:0005634///GO:0005654///GO:0005737///GO:0005829///GO:0008180","protein binding","protein deneddylation///COP9 signalosome assembly///protein neddylation///regulation of protein neddylation","nucleus///nucleoplasm///cytoplasm///cytosol///COP9 signalosome"
"DIS3L2",129563,"DIS3L2","DIS3 like 3'-5' exoribonuclease 2","FAM6A|PRLMNS|hDIS3L2","protein-coding","ENSG00000144535","active","NC_000002.12","231961583","232344350","positive",5326,"GO:0000175///GO:0000287///GO:0004540///GO:0005515///GO:0008266","GO:0000278///GO:0000291///GO:0006402///GO:0008285///GO:0010587///GO:0019827///GO:0034427///GO:0051301///GO:0051306///GO:0090503///GO:1990074","GO:0000178///GO:0000932///GO:0005737///GO:0005844","3'-5'-exoribonuclease activity///magnesium ion binding///ribonuclease activity///protein binding///poly(U) RNA binding","mitotic cell cycle///nuclear-transcribed mRNA catabolic process, exonucleolytic///mRNA catabolic process///negative regulation of cell population proliferation///miRNA catabolic process///stem cell population maintenance///nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5'///cell division///mitotic sister chromatid separation///RNA phosphodiester bond hydrolysis, exonucleolytic///polyuridylation-dependent mRNA catabolic process","exosome (RNase complex)///P-body///cytoplasm///polysome"
"TIGD1",200765,"TIGD1","tigger transposable element derived 1","EEYORE","protein-coding","ENSG00000221944","active","NC_000002.12","232547970","232550557","negative",2588,"GO:0003677///GO:0005515","","GO:0005634","DNA binding///protein binding","","nucleus"
"EIF4E2",9470,"EIF4E2","eukaryotic translation initiation factor 4E family member 2","4E-LP|4EHP|EIF4EL3|IF4e|h4EHP","protein-coding","ENSG00000135930","active","NC_000002.12","232550587","232583645","positive",4304,"GO:0000339///GO:0000340///GO:0003723///GO:0003743///GO:0005515///GO:0008135///GO:0031625","GO:0006413///GO:0017148///GO:0035278","GO:0000932///GO:0005737///GO:0005829///GO:0005845///GO:0016281","RNA cap binding///RNA 7-methylguanosine cap binding///RNA binding///translation initiation factor activity///protein binding///translation factor activity, RNA binding///ubiquitin protein ligase binding","translational initiation///negative regulation of translation///miRNA-mediated gene silencing by inhibition of translation","P-body///cytoplasm///cytosol///mRNA cap binding complex///eukaryotic translation initiation factor 4F complex"
